INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090x2', modelName='qwen2.5-coder:14b-instruct-gptq4', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=4096, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
947, 1415, 101
382, 894, 46
590, 850, 79
388, 1373, 20
846, 2568, 70
1051, 3228, 27
1125, 2529, 44
667, 1603, 56
734, 1352, 67
1006, 2244, 74
1069, 3183, 86
484, 623, 32
426, 922, 46
546, 433, 36
682, 1668, 91
555, 709, 51
506, 1478, 60
495, 1517, 52
663, 349, 62
616, 1372, 151
415, 1452, 25
496, 905, 66
459, 254, 71
386, 393, 40
287, 157, 32
1043, 3485, 44
1112, 2306, 42
341, 354, 32
425, 391, 69
1238, 2657, 85
970, 3062, 58
1020, 2241, 79
1065, 2882, 73
521, 1480, 54
507, 1123, 55
395, 569, 78
436, 482, 41
502, 779, 97
506, 1497, 77
674, 542, 55
646, 1654, 81
907, 755, 160
617, 667, 34
549, 1726, 56
373, 1034, 46
345, 558, 35
402, 758, 62
366, 917, 42
568, 531, 103
361, 754, 47
909, 3183, 34
945, 1308, 54
643, 1619, 73
598, 872, 91
452, 1610, 47
1195, 3276, 46
716, 3042, 50
487, 1200, 62
653, 1054, 67
530, 1712, 66
615, 529, 36
973, 2437, 197
1098, 3817, 36
939, 1597, 111
505, 1644, 73
392, 782, 79
874, 3055, 49
613, 764, 52
291, 252, 0
386, 443, 27
520, 593, 50
667, 1821, 94
567, 1571, 89
554, 2278, 32
1127, 3487, 45
375, 364, 39
331, 503, 36
395, 776, 75
337, 457, 59
797, 1956, 159
667, 2166, 74
880, 708, 107
681, 2310, 56
411, 854, 50
432, 399, 36
351, 729, 44
355, 268, 80
432, 406, 87
398, 1022, 51
407, 658, 117
275, 242, 48
268, 260, 28
502, 719, 31
880, 3108, 49
360, 1010, 40
496, 1905, 47
768, 2964, 60
489, 1923, 47
1174, 3393, 95
1035, 3462, 119
1458, 3492, 124
449, 1260, 65
391, 564, 62
292, 447, 40
383, 796, 46
281, 170, 55
436, 1134, 27
746, 1781, 63
505, 1398, 25
590, 800, 62
355, 754, 83
274, 534, 23
377, 580, 42
657, 2369, 28
1241, 3793, 98
471, 419, 46
403, 1047, 54
803, 398, 81
1021, 3050, 93
537, 926, 53
738, 1943, 67
368, 483, 27
544, 398, 122
787, 2815, 114
994, 639, 104
412, 369, 38
501, 1007, 70
425, 313, 33
444, 882, 44
279, 490, 35
373, 1333, 13
882, 3224, 59
457, 492, 56
850, 876, 58
857, 3075, 79
517, 1947, 45
515, 1581, 71
1336, 1112, 148
327, 614, 48
733, 1907, 34
1023, 1984, 168
468, 505, 71
576, 1258, 53
429, 1031, 83
505, 2388, 0
617, 172, 54
404, 1026, 55
321, 592, 31
537, 830, 41
982, 2531, 165
399, 1221, 58
368, 387, 58
229, 371, 2
338, 368, 52
694, 1870, 112
682, 894, 31
260, 522, 0
1539, 2206, 199
572, 1745, 72
916, 2600, 74
1013, 2601, 45
1027, 2976, 108
555, 387, 38
649, 2029, 60
483, 1089, 37
453, 498, 45
521, 2087, 7
348, 189, 108
683, 2076, 81
484, 501, 154
279, 207, 44
501, 999, 33
553, 693, 96
558, 230, 44
490, 1815, 38
776, 1625, 56
515, 1785, 79
350, 468, 33
603, 249, 145
1179, 3895, 26
1290, 1724, 104
1063, 3293, 51
736, 2217, 38
508, 863, 51
425, 1129, 45
496, 1824, 36
327, 134, 32
514, 624, 36
612, 1280, 102
276, 466, 9
304, 427, 25
283, 183, 43
393, 911, 54
571, 2142, 54
859, 2013, 23
571, 2994, 0
949, 1913, 58
526, 2181, 34
1018, 2688, 90
310, 449, 42
463, 199, 95
364, 273, 100
546, 2471, 0
417, 1012, 58
341, 707, 30
479, 380, 109
635, 2206, 58
354, 261, 81
375, 782, 34
349, 577, 26
321, 419, 49
422, 1015, 54
661, 1436, 96
524, 736, 44
616, 782, 26
616, 1721, 42
683, 1364, 42
741, 1668, 75
299, 708, 22
295, 752, 37
459, 1618, 30
915, 3940, 5
1346, 3596, 33
661, 2519, 37
918, 467, 102
540, 931, 85
336, 444, 45
521, 582, 98
489, 287, 72
321, 679, 42
388, 656, 67
216, 266, 0
633, 2402, 43
474, 1468, 23
579, 261, 42
606, 1571, 58
888, 2564, 93
573, 1932, 36
627, 268, 56
264, 588, 0
1216, 3338, 46
764, 2911, 72
317, 261, 46
285, 279, 41
895, 3766, 52
896, 685, 60
316, 361, 0
377, 469, 55
427, 916, 32
381, 305, 46
307, 131, 63
1046, 2617, 44
1042, 2990, 55
720, 268, 36
759, 2998, 69
305, 71, 44
759, 2669, 89
601, 1305, 79
524, 448, 93
703, 1640, 2
1290, 3855, 46
552, 2113, 37
334, 301, 78
444, 1919, 21
268, 435, 20
408, 272, 39
616, 2139, 43
332, 288, 46
441, 266, 42
319, 259, 2
282, 366, 53
491, 496, 26
521, 962, 67
402, 783, 63
571, 1421, 92
547, 602, 41
290, 151, 26
820, 975, 79
568, 2473, 37
480, 257, 132
801, 586, 117
686, 2669, 52
298, 106, 28
346, 229, 59
540, 1642, 44
565, 170, 47
260, 184, 34
587, 134, 5
751, 2878, 64
906, 758, 62
841, 3690, 88
422, 672, 47
768, 2226, 86
805, 2584, 43
550, 1329, 67
285, 80, 74
556, 2012, 73
851, 3377, 80
442, 219, 48
551, 1749, 44
641, 296, 73
488, 729, 94
452, 436, 104
569, 605, 52
593, 1665, 47
326, 520, 40
390, 570, 69
509, 1643, 41
644, 791, 115
600, 1273, 37
734, 1022, 107
650, 1786, 40
451, 660, 43
745, 1123, 100
835, 1478, 109
632, 165, 70
585, 1955, 61
542, 555, 24
625, 2107, 33
412, 1010, 46
454, 325, 61
432, 1452, 39
551, 2320, 39
343, 160, 88
337, 398, 45
394, 757, 67
382, 624, 29
755, 3060, 39
544, 1723, 40
521, 2164, 32
388, 553, 81
337, 691, 31
435, 428, 20
497, 1051, 98
235, 401, 0
536, 1293, 22
850, 2552, 78
246, 110, 17
353, 352, 43
442, 1232, 65
569, 2237, 42
529, 2421, 15
748, 1013, 61
668, 388, 52
742, 2262, 121
353, 724, 33
422, 1355, 26
626, 466, 58
365, 923, 31
632, 258, 121
552, 1828, 51
352, 750, 44
380, 889, 41
274, 676, 0
512, 489, 46
507, 427, 66
552, 1150, 97
595, 1747, 73
493, 353, 74
332, 932, 14
277, 208, 36
502, 386, 131
543, 1799, 43
716, 1344, 48
617, 2428, 40
717, 348, 35
415, 931, 39
986, 2044, 69
708, 2919, 32
599, 1962, 25
580, 1020, 74
307, 571, 0
1110, 2007, 174
825, 1920, 122
243, 198, 14
384, 1083, 51
758, 2893, 34
1252, 3563, 67
337, 732, 51
434, 153, 60
880, 698, 59
948, 3554, 79
343, 753, 37
419, 500, 107
228, 268, 0
512, 536, 55
450, 930, 40
449, 1095, 0
729, 1537, 76
604, 411, 55
574, 1750, 88
343, 632, 54
329, 555, 46
352, 540, 78
1013, 2078, 123
1310, 3112, 103
417, 288, 39
635, 316, 111
507, 1794, 58
358, 1078, 10
325, 417, 40
723, 2255, 103
469, 1248, 46
540, 686, 56
540, 566, 24
585, 1387, 60
491, 601, 86
474, 1651, 35
346, 631, 29
545, 712, 159
416, 1108, 37
1449, 3777, 74
1267, 3859, 56
718, 1681, 21
720, 2150, 24
1117, 2795, 62
860, 2830, 54
411, 229, 121
414, 1703, 0
476, 1496, 43
781, 3657, 0
781, 3210, 22
302, 408, 46
368, 946, 23
599, 2440, 46
335, 656, 35
580, 1744, 34
312, 421, 21
339, 250, 27
467, 373, 61
606, 2400, 70
429, 989, 36
671, 1329, 48
710, 2828, 41
850, 1107, 28
372, 1377, 13
1004, 2532, 44
682, 2620, 54
374, 713, 60
326, 719, 37
711, 2140, 40
467, 548, 55
433, 375, 68
765, 1910, 131
465, 877, 32
662, 756, 104
593, 414, 78
473, 1767, 34
649, 421, 53
624, 2254, 45
830, 2705, 102
894, 665, 127
479, 414, 58
415, 759, 34
895, 1559, 123
956, 2239, 97
722, 1442, 68
603, 1577, 59
626, 2464, 15
577, 535, 59
562, 773, 48
961, 3363, 39
818, 3273, 61
926, 166, 102
517, 440, 53
459, 1177, 38
631, 432, 67
754, 2060, 120
575, 430, 46
454, 1565, 44
926, 879, 45
1024, 3895, 74
216, 193, 5
289, 796, 0
468, 879, 30
357, 389, 45
582, 782, 62
657, 1719, 62
896, 2433, 25
917, 2441, 36
486, 1304, 21
569, 813, 42
389, 742, 54
841, 2950, 60
444, 1047, 106
405, 90, 50
507, 1372, 57
351, 544, 26
420, 371, 58
880, 467, 48
880, 3974, 55
320, 693, 39
333, 347, 68
553, 2491, 0
1229, 3001, 74
413, 796, 74
567, 2559, 18
804, 3065, 65
392, 418, 82
703, 2706, 29
374, 586, 36
581, 1412, 39
616, 497, 74
397, 561, 0
564, 1336, 73
347, 702, 64
453, 889, 63
591, 2593, 28
398, 596, 46
551, 1951, 73
622, 2010, 46
439, 339, 71
493, 181, 36
654, 1480, 84
522, 1737, 68
540, 2019, 48
408, 559, 38
486, 1290, 20
756, 2339, 45
590, 799, 88
761, 800, 76
835, 3169, 57
672, 202, 93
546, 2188, 34
602, 265, 33
306, 521, 11
398, 793, 54
503, 1268, 83
243, 493, 0
698, 801, 31
781, 3844, 13
2170, 3192, 323
691, 2437, 29
498, 647, 37
702, 1718, 44
797, 1322, 80
439, 1524, 48
539, 932, 70
357, 809, 30
845, 3661, 0
911, 778, 55
848, 3468, 9
1157, 2232, 129
699, 550, 32
684, 2815, 66
782, 521, 53
906, 3009, 44
607, 1402, 50
670, 1095, 105
527, 418, 73
650, 1467, 80
542, 1932, 67
679, 429, 57
599, 1622, 73
588, 481, 46
693, 3072, 35
830, 529, 80
1141, 3949, 39
872, 2093, 116
630, 2786, 0
1280, 3658, 63
906, 2424, 56
792, 2222, 112
554, 390, 33
801, 1275, 127
412, 304, 70
608, 1946, 75
469, 1613, 39
752, 3363, 29
498, 536, 97
310, 432, 25
528, 1121, 43
484, 844, 74
837, 3460, 70
813, 281, 77
874, 1414, 145
1215, 2110, 111
317, 254, 72
370, 700, 72
271, 306, 36
253, 309, 13
359, 820, 52
372, 503, 24
642, 2092, 87
692, 817, 10
677, 2597, 51
784, 189, 51
906, 3526, 80
433, 116, 32
385, 982, 46
699, 598, 47
654, 2337, 69
453, 290, 34
461, 1129, 54
931, 2006, 84
1057, 2777, 121
344, 637, 48
601, 1463, 86
814, 3757, 33
578, 365, 49
720, 2476, 30
733, 2052, 90
883, 542, 181
294, 373, 36
552, 1403, 114
385, 1075, 25
809, 2048, 54
830, 1704, 142
364, 209, 40
690, 2685, 57
501, 1730, 42
576, 201, 74
499, 361, 130
287, 428, 40
867, 2431, 88
784, 1900, 90
420, 421, 71
375, 328, 77
394, 366, 56
384, 568, 44
627, 398, 63
725, 1792, 114
506, 737, 31
670, 1721, 75
552, 927, 43
608, 1284, 42
351, 375, 33
489, 263, 128
415, 393, 68
371, 310, 82
853, 3164, 50
817, 957, 54
587, 2800, 0
676, 382, 41
615, 1268, 102
579, 525, 78
430, 834, 76
311, 1017, 0
597, 1184, 41
438, 1115, 25
566, 1606, 47
572, 701, 56
555, 156, 133
598, 921, 50
460, 700, 76
481, 1229, 53
459, 146, 59
1054, 3048, 108
589, 2153, 13
526, 547, 68
373, 718, 62
539, 369, 124
411, 1341, 31
572, 2075, 104
476, 459, 43
930, 3590, 48
280, 247, 5
329, 227, 42
522, 2140, 48
649, 184, 55
337, 784, 28
513, 483, 87
819, 2631, 124
637, 305, 48
820, 2536, 131
466, 408, 56
680, 808, 123
399, 365, 99
584, 2521, 47
794, 3468, 32
1057, 1995, 83
647, 587, 97
382, 791, 44
729, 918, 20
791, 2954, 33
348, 726, 46
412, 906, 72
477, 1383, 70
552, 176, 69
515, 1815, 58
427, 256, 120
500, 1755, 56
439, 1588, 31
372, 243, 93
436, 1894, 15
426, 992, 41
510, 360, 126
314, 447, 36
352, 490, 42
337, 424, 33
323, 441, 26
570, 881, 134
346, 818, 28
474, 400, 49
573, 2149, 47
386, 979, 47
1536, 325, 159
355, 976, 73
381, 826, 52
244, 411, 0
424, 1084, 61
284, 331, 47
515, 164, 49
702, 2407, 74
727, 1751, 70
741, 1198, 57
309, 365, 17
464, 266, 122
374, 890, 28
629, 1157, 103
498, 322, 33
971, 3771, 68
308, 319, 58
441, 1737, 27
330, 593, 39
617, 2726, 59
649, 2051, 52
465, 739, 103
290, 601, 16
261, 351, 0
587, 630, 34
656, 1940, 84
433, 1514, 46
