INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090x2', modelName='qwen2.5-coder:32b-instruct-qptq-int8', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=4096, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
1003, 1054, 36
2131, 3042, 50
3324, 2437, 197
1121, 1200, 81
1477, 1712, 61
1936, 1597, 109
968, 1644, 72
1338, 529, 89
1955, 3817, 36
1495, 764, 52
294, 252, 0
1351, 782, 79
1375, 1821, 94
2244, 3487, 51
2654, 3055, 49
672, 443, 27
759, 503, 36
801, 776, 38
879, 593, 50
849, 457, 59
1373, 1571, 89
1462, 2278, 92
1928, 708, 100
808, 364, 101
771, 854, 50
1182, 399, 36
1258, 1956, 79
1235, 2166, 29
1454, 406, 87
1559, 2310, 56
1222, 658, 117
400, 260, 28
899, 729, 44
613, 719, 31
680, 1010, 40
1033, 268, 80
1543, 1022, 51
1798, 2964, 47
1157, 242, 48
1146, 1923, 48
2590, 3108, 49
2953, 3492, 124
1221, 1905, 47
1131, 564, 81
1542, 796, 46
2155, 3393, 96
1347, 3462, 0
2101, 1781, 42
1139, 1398, 25
1349, 1260, 65
740, 447, 40
599, 534, 45
1755, 170, 49
1737, 3793, 71
1159, 1134, 27
1081, 1047, 54
818, 800, 62
931, 398, 81
1296, 754, 83
1237, 1943, 39
802, 580, 42
797, 483, 28
1250, 2369, 28
551, 419, 46
2200, 639, 108
1490, 369, 38
473, 313, 33
2488, 3050, 123
795, 490, 35
918, 926, 53
1759, 3224, 65
1643, 398, 99
2449, 3075, 79
2648, 2815, 119
1086, 1007, 49
1366, 1947, 45
1259, 882, 44
1329, 1581, 71
633, 1333, 2
1002, 614, 48
963, 1907, 36
1266, 492, 51
838, 876, 58
1760, 505, 78
1084, 1031, 83
1257, 2388, 70
3451, 1112, 148
1215, 592, 31
711, 830, 41
1872, 1984, 149
1160, 1221, 58
900, 1258, 53
603, 172, 48
881, 371, 59
949, 1026, 50
716, 368, 57
1633, 894, 53
2166, 2531, 166
407, 522, 0
1573, 387, 58
