INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090', modelName='qwen2.5-coder:14b-instruct-gptq4', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=32768, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
513, 770, 49
470, 320, 72
316, 571, 0
437, 254, 35
505, 982, 57
486, 327, 58
505, 388, 56
617, 872, 78
535, 1609, 0
694, 1940, 17
552, 466, 72
589, 923, 42
3192, 7727, 59
3383, 10077, 89
1270, 5218, 37
1404, 2728, 54
1475, 7587, 44
1487, 942, 48
1197, 2278, 57
1265, 4048, 99
754, 2794, 47
709, 608, 48
372, 1244, 0
1025, 2820, 73
336, 387, 39
1222, 574, 102
1301, 4758, 138
618, 1806, 51
622, 381, 46
855, 1322, 37
840, 2952, 77
3939, 9467, 21
3984, 13048, 51
430, 1005, 31
531, 564, 48
481, 443, 31
495, 396, 48
471, 432, 31
490, 696, 47
1099, 3978, 121
1141, 1389, 96
2000, 10289, 42
2012, 458, 80
706, 1876, 46
726, 1040, 63
1222, 411, 30
1313, 6148, 41
419, 548, 35
531, 579, 62
1156, 789, 54
1109, 5334, 59
628, 870, 5
1025, 2094, 137
455, 861, 67
523, 1096, 91
1880, 10035, 0
1587, 297, 44
540, 669, 46
486, 947, 53
803, 3878, 7
972, 814, 56
965, 3642, 62
1029, 1351, 53
484, 401, 25
517, 945, 37
877, 483, 46
892, 3881, 24
812, 3362, 20
916, 267, 72
1186, 326, 63
1134, 5816, 33
4668, 2510, 76
4742, 20788, 75
559, 2800, 0
1037, 96, 100
448, 1389, 28
1028, 2039, 43
1440, 5198, 74
520, 487, 18
571, 1074, 85
270, 423, 1
887, 3518, 39
1533, 4159, 63
393, 617, 40
2746, 9148, 53
2274, 6400, 55
997, 463, 66
1107, 4321, 47
1308, 6404, 59
1344, 457, 54
2801, 14096, 37
2801, 558, 66
412, 683, 36
664, 376, 140
446, 601, 53
1575, 493, 247
611, 1546, 61
540, 589, 36
733, 1068, 103
489, 549, 87
2647, 9930, 84
2113, 2980, 104
477, 177, 44
746, 841, 116
400, 844, 19
453, 1450, 33
790, 1731, 85
477, 763, 91
460, 696, 26
433, 386, 52
990, 379, 109
1296, 3062, 205
2150, 586, 50
2522, 11723, 54
927, 3442, 37
971, 749, 52
990, 3775, 34
902, 881, 75
2970, 14582, 55
3114, 793, 110
614, 184, 40
619, 2073, 63
2140, 412, 47
2198, 9811, 59
420, 360, 41
368, 455, 32
822, 1994, 49
765, 1906, 54
1534, 3122, 21
1555, 5959, 39
657, 343, 66
580, 1848, 88
1142, 933, 52
1204, 4399, 82
1499, 7698, 28
1560, 1097, 31
552, 390, 67
613, 612, 54
2016, 7193, 46
2102, 4157, 56
2820, 1821, 3
2970, 14152, 60
891, 415, 46
978, 3453, 43
370, 91, 56
517, 126, 95
498, 913, 44
476, 376, 102
407, 1453, 23
871, 931, 152
1385, 5959, 43
1113, 1558, 46
376, 528, 9
588, 311, 87
2887, 12080, 33
2642, 3640, 31
1333, 1836, 31
1532, 5813, 83
305, 876, 0
526, 192, 78
1101, 5280, 28
1100, 424, 44
581, 2937, 0
1293, 4023, 27
452, 660, 44
450, 592, 38
520, 668, 50
932, 2864, 46
1006, 1882, 66
705, 275, 16
965, 3298, 58
441, 457, 21
703, 1674, 95
2112, 9755, 39
2084, 1301, 82
402, 410, 36
703, 639, 88
379, 330, 35
1141, 1512, 73
1771, 6883, 128
2882, 12794, 70
2758, 1776, 117
406, 1467, 0
642, 1038, 52
1600, 502, 12
2258, 9043, 126
413, 356, 81
1173, 4771, 87
1576, 3099, 81
841, 1167, 41
907, 2795, 85
567, 696, 52
658, 1245, 99
339, 260, 47
605, 1850, 29
322, 178, 38
575, 1171, 30
785, 1747, 92
661, 673, 57
809, 2494, 65
635, 663, 39
688, 2030, 89
1321, 3418, 44
1347, 3750, 94
905, 2853, 54
824, 918, 79
642, 313, 44
792, 2763, 57
1361, 5633, 80
1344, 610, 80
293, 224, 40
3003, 12820, 119
2485, 1747, 110
1119, 5322, 11
1074, 470, 43
800, 571, 44
919, 3127, 41
1991, 8185, 0
2173, 4884, 37
957, 1349, 0
1182, 4044, 79
418, 345, 66
824, 535, 115
1160, 4080, 85
945, 919, 90
1074, 424, 77
1445, 4641, 164
285, 371, 37
1081, 3367, 33
818, 1677, 37
1428, 2854, 31
1590, 5212, 93
474, 792, 41
742, 1539, 87
476, 340, 17
619, 1970, 24
596, 421, 54
583, 777, 63
740, 650, 42
885, 2317, 82
1045, 913, 30
952, 4127, 41
530, 802, 46
624, 648, 110
1173, 4662, 0
1438, 3202, 36
382, 1294, 0
632, 1970, 55
370, 423, 41
356, 447, 63
7787, 657, 40
8337, 32000, 59
810, 2153, 31
644, 1838, 69
453, 180, 34
406, 868, 32
853, 4103, 20
899, 171, 44
639, 1234, 44
625, 1059, 59
576, 1143, 35
535, 578, 35
998, 814, 64
1163, 3928, 57
384, 610, 38
1378, 5964, 43
